ID Number,Customer ID,Account Number,GSM Number,First Name,Last Name,Order Number
40255697334,5ce96070-f731-498b-a6c6-2438282e8af5,,5454105388,Berk,"!qqqqq",
34060467572,c5378707-3483-43c1-a671-b0bd824109d3,,5437550463,23333,Öztürk,
14810552444,32555cc8-7cb0-41d9-9c95-f0f24e68efe9,,1111111111,Tuana,Mamıkoğlu,
22351695902,"!!qqqffffffff",,5111112112,Ali,Çobanoğlu,
11111111112,ef6193ec-2a1b-42bb-a7d6-f4ef0f9146bb,,5855522525,Fatma,Erkollu Köstem,
,,,,as,,
22222222222,,,,,,
,232323eebb,,,,,
,,,3599999999,,,
,,,,,Ordu,
,25c6,,,sEnA,,
,,,,SeNa,OrDu,
,f7d36d3a,,5454105388,RK,çobanoğlu,
13245678912,f7d36d3b,,3333333333,sevgi,mamıkoğlu,
22222222222,,,,,,
